timestamp,X_sma_30,X_sma_60,X_sma_90,X_sma_150,X_sma_200,X_kama_30,X_kama_60,X_kama_90,X_kama_150,X_kama_200,actual_target,forecast,y_predict,y_actual,signal_correct
2024-09-02 17:00:00,1.3490263333333334,1.3482186666666667,1.3475915555555555,1.3483704666666667,1.35114745,1.3479818881577423,1.3473977603027778,1.3474142933952826,1.3480380605358615,1.3481472793888352,1.4820852940022888e-05,-0.00025569893343289104,-1,1,0
2024-09-02 18:00:00,1.3490913333333332,1.3482676666666664,1.3476503333333334,1.3483088666666667,1.35108605,1.3480122095084144,1.3474286573018794,1.3474522180694515,1.3480634298491958,1.3481722493204078,-3.7051583214098294e-05,-0.0002541061323701195,-1,-1,1
2024-09-02 19:00:00,1.3491536666666666,1.3483224999999999,1.3477023333333333,1.3482474,1.3510273000000002,1.34803957970064,1.3474621581839783,1.3474846251640384,1.3480874163686924,1.3481948606894378,-0.00022972832772605312,-0.0002525357594983218,-1,-1,1
2024-09-02 20:00:00,1.349199,1.3483793333333334,1.347750888888889,1.3481856666666665,1.3509685999999999,1.3480546377817206,1.3474910226718968,1.3475094915444905,1.3481055690462966,1.3482114315866087,3.7061470154364784e-05,-0.00025111462461109704,-1,1,0
2024-09-02 21:00:00,1.349227,1.3484311666666666,1.3478021111111111,1.3481260666666666,1.3509143999999997,1.3480654961852792,1.3475179422657964,1.3475361694053158,1.3481236755779065,1.3482273911998996,8.894423196670331e-05,-0.0002498488162059572,-1,1,0
2024-09-02 22:00:00,1.3492556666666669,1.3484948333333335,1.347851111111111,1.3480718666666667,1.35086085,1.3480776141211386,1.347553717788285,1.3475632818869274,1.3481418714722013,1.348244869246728,-0.00021492944385148594,-0.0002484938692838416,-1,-1,1
2024-09-02 23:00:00,1.3492953333333333,1.3485326666666666,1.3478947777777779,1.3480508666666666,1.3508065999999999,1.3480895945696703,1.347571871977101,1.3475831540573127,1.3481486928975763,1.3482573862470135,0.00020014974165860622,-0.00024742374412480434,-1,1,0
2024-09-03 00:00:00,1.3492923333333335,1.3485941666666668,1.347943111111111,1.3480368666666667,1.35075405,1.3480951145435478,1.3476073039252137,1.3476087616814152,1.3481560577988674,1.3482736705358636,0.0005336258393489057,-0.000246376409488751,-1,1,0
2024-09-03 01:00:00,1.3492843333333333,1.3486721666666666,1.347993888888889,1.3480286666666665,1.35070435,1.3481059262295298,1.347671746514753,1.347646561690072,1.348166136369875,1.3482997782554134,-0.00013333530867110088,-0.00024512382472568323,-1,-1,1
2024-09-03 02:00:00,1.3492893333333333,1.3487363333333333,1.348032111111111,1.3480258666666667,1.3506618499999998,1.3481146468731058,1.3477186290960248,1.3476734820373717,1.3481736703368747,1.3483199140855218,4.445102978212212e-05,-0.00024409859896755935,-1,1,0
2024-09-03 03:00:00,1.3493313333333332,1.3487785,1.3480743333333334,1.3480162666666669,1.3506162499999999,1.3481443665204769,1.3477507208870128,1.347703436479706,1.3481834869396807,1.3483420699555295,0.00019261256722913345,-0.00024292137638094383,-1,1,0
2024-09-03 04:00:00,1.3494136666666667,1.3488111666666667,1.3481281111111112,1.3480096666666666,1.35057195,1.3482250623339884,1.3477795810560265,1.347745689597448,1.3481936960882641,1.3483669187203031,0.0009406571267738251,-0.00024120692673383615,-1,1,0
2024-09-03 05:00:00,1.3494859999999997,1.3488753333333334,1.3481882222222221,1.3480135999999998,1.35053705,1.3483379283291186,1.3478633950948926,1.347816319694927,1.3482090359107584,1.3484012370428853,0.0006215822227486623,-0.00023888811099258018,-1,1,0
2024-09-03 06:00:00,1.3496066666666668,1.3489736666666665,1.3482577777777778,1.3480237333333331,1.3504999,1.3486163796220405,1.3480399032651262,1.347914752239001,1.348232665020284,1.348447109786038,0.0003179932407948449,-0.00023443878936569803,-1,1,0
2024-09-03 07:00:00,1.3497350000000001,1.3490674999999999,1.3483293333333335,1.3480330666666667,1.3504668000000002,1.348924060950244,1.3482176983505458,1.34802355775828,1.3482580475112598,1.3484931495800436,7.392840773112752e-06,-0.0002177179373891705,-1,1,0
