Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
30,1252,1292,Asset,-66993,1.359212,1.3512,{'SL': 1.3658000000000001},{'TP': 1.3512},536.750328,0.005895,2024-08-22 01:00:00,2024-08-23 17:00:00,,TP Hit,1 days 16:00:00
31,1293,1580,Asset,-67705,1.352062,1.3604,{'SL': 1.3604},{'TP': 1.3418},-564.497648,-0.006167,2024-08-23 18:00:00,2024-09-10 17:00:00,,SL Hit,17 days 23:00:00
32,1581,1651,Asset,-66921,1.360322,1.35766,{'SL': 1.3672},{'TP': 1.3519},178.142397,0.001957,2024-09-10 18:00:00,2024-09-13 16:00:00,,,2 days 22:00:00
33,1652,1735,Asset,67205,1.357098,1.3645,{'SL': 1.351},{'TP': 1.3645},497.46139,0.005454,2024-09-13 17:00:00,2024-09-19 04:00:00,,TP Hit,5 days 11:00:00
34,1736,1795,Asset,67237,1.363078,1.3525,{'SL': 1.3525},{'TP': 1.3762},-711.243105,-0.00776,2024-09-19 05:00:00,2024-09-23 16:00:00,,SL Hit,4 days 11:00:00
35,1796,1823,Asset,67319,1.351978,1.3448,{'SL': 1.3448},{'TP': 1.3607},-483.188551,-0.005309,2024-09-23 17:00:00,2024-09-24 20:00:00,,SL Hit,1 days 03:00:00
36,1824,1935,Asset,67360,1.344657,1.3539,{'SL': 1.3372000000000002},{'TP': 1.3539},622.593021,0.006874,2024-09-24 21:00:00,2024-10-01 12:00:00,,TP Hit,6 days 15:00:00
37,1936,1947,Asset,67342,1.353338,1.348,{'SL': 1.348},{'TP': 1.3599},-359.448935,-0.003944,2024-10-01 13:00:00,2024-10-02 00:00:00,,SL Hit,0 days 11:00:00
38,1948,2011,Asset,67323,1.348927,1.3589,{'SL': 1.3408},{'TP': 1.3589},671.382455,0.007393,2024-10-02 01:00:00,2024-10-04 16:00:00,,TP Hit,2 days 15:00:00
39,2012,2050,Asset,67298,1.358398,1.36233,{'SL': 1.3514000000000002},{'TP': 1.3671},264.621355,0.002895,2024-10-04 17:00:00,2024-10-08 07:00:00,,,3 days 14:00:00
40,2051,2057,Asset,67290,1.362128,1.36392,{'SL': 1.357},{'TP': 1.3683},120.576749,0.001316,2024-10-08 08:00:00,2024-10-08 14:00:00,,,0 days 06:00:00
41,2058,2084,Asset,-67281,1.363762,1.3687,{'SL': 1.3687},{'TP': 1.3578000000000001},-332.246462,-0.003621,2024-10-08 15:00:00,2024-10-09 17:00:00,,SL Hit,1 days 02:00:00
42,2085,2105,Asset,-66813,1.368802,1.3742,{'SL': 1.3742},{'TP': 1.3623},-360.686206,-0.003944,2024-10-09 18:00:00,2024-10-10 14:00:00,,SL Hit,0 days 20:00:00
43,2106,2152,Asset,-66269,1.375191,1.3796,{'SL': 1.3796000000000002},{'TP': 1.3698000000000001},-292.164315,-0.003206,2024-10-10 15:00:00,2024-10-14 13:00:00,,SL Hit,3 days 22:00:00
44,2153,2178,Asset,-65869,1.379561,1.3832,{'SL': 1.3832},{'TP': 1.3751},-239.696072,-0.002638,2024-10-14 14:00:00,2024-10-15 15:00:00,,SL Hit,1 days 01:00:00
45,2179,2207,Asset,-65575,1.382431,1.3764,{'SL': 1.3874},{'TP': 1.3764},395.474628,0.004363,2024-10-15 16:00:00,2024-10-16 20:00:00,,TP Hit,1 days 04:00:00
46,2208,2268,Asset,-66126,1.376301,1.3819,{'SL': 1.3819000000000001},{'TP': 1.3695000000000002},-370.227472,-0.004068,2024-10-16 21:00:00,2024-10-21 09:00:00,,SL Hit,4 days 12:00:00
47,2269,2324,Asset,-65614,1.381951,1.3853,{'SL': 1.3853},{'TP': 1.3779000000000001},-219.747913,-0.002423,2024-10-21 10:00:00,2024-10-23 17:00:00,,SL Hit,2 days 07:00:00
48,2325,2351,Asset,-65349,1.384521,1.3863,{'SL': 1.3902},{'TP': 1.3776000000000002},-116.270869,-0.001285,2024-10-23 18:00:00,2024-10-24 20:00:00,,,1 days 02:00:00
49,2352,2494,Asset,65230,1.385589,1.3952,{'SL': 1.3778000000000001},{'TP': 1.3952},626.907527,0.006936,2024-10-24 21:00:00,2024-11-01 19:00:00,,TP Hit,7 days 22:00:00
50,2495,2538,Asset,65188,1.39515,1.3865,{'SL': 1.3865},{'TP': 1.4058000000000002},-563.860164,-0.0062,2024-11-01 20:00:00,2024-11-05 16:00:00,,SL Hit,3 days 20:00:00
51,2539,2551,Asset,65256,1.386159,1.392,{'SL': 1.3809},{'TP': 1.3920000000000001},381.140426,0.004214,2024-11-05 17:00:00,2024-11-06 05:00:00,,TP Hit,0 days 12:00:00
52,2552,2731,Asset,65171,1.39298,1.4103,{'SL': 1.379},{'TP': 1.4103},1128.784823,0.012434,2024-11-06 06:00:00,2024-11-15 17:00:00,,TP Hit,9 days 11:00:00
53,2732,2777,Asset,65201,1.40791,1.3984,{'SL': 1.3984},{'TP': 1.4196},-620.087069,-0.006755,2024-11-15 18:00:00,2024-11-19 15:00:00,,SL Hit,3 days 21:00:00
54,2778,2884,Asset,65142,1.40078,1.413,{'SL': 1.3906},{'TP': 1.413},796.032927,0.008724,2024-11-19 16:00:00,2024-11-26 02:00:00,,TP Hit,6 days 10:00:00
55,2885,3287,Asset,50831,1.416281,1.4414,{'SL': 1.3961000000000001},{'TP': 1.4414},1276.833521,0.017736,2024-11-26 03:00:00,2024-12-18 21:00:00,,TP Hit,22 days 18:00:00
56,3288,3547,Asset,64577,1.441772,1.4282,{'SL': 1.4282000000000001},{'TP': 1.4586000000000001},-876.444533,-0.009413,2024-12-18 22:00:00,2025-01-06 16:00:00,,SL Hit,18 days 18:00:00
57,3548,3983,Asset,52953,1.433132,1.4573,{'SL': 1.4137000000000002},{'TP': 1.4573},1279.786479,0.016864,2025-01-06 17:00:00,2025-01-30 22:00:00,,TP Hit,24 days 05:00:00
58,3984,4009,Asset,54745,1.448712,1.47351,{'SL': 1.4296},{'TP': 1.4723000000000002},1357.54286,0.017117,2025-01-30 23:00:00,2025-02-03 00:00:00,,TP Hit,3 days 01:00:00
59,4010,4067,Asset,24031,1.473304,1.4295,{'SL': 1.4295},{'TP': 1.528},-1052.64579,-0.029732,2025-02-03 01:00:00,2025-02-05 10:00:00,,SL Hit,2 days 09:00:00
60,4068,4168,Asset,65625,1.428461,1.43233,{'SL': 1.4188},{'TP': 1.4404000000000001},253.875595,0.002708,2025-02-05 11:00:00,2025-02-11 15:00:00,,,6 days 04:00:00
61,4169,4218,Asset,-65662,1.430948,1.4216,{'SL': 1.4386},{'TP': 1.4216},613.837858,0.006533,2025-02-11 16:00:00,2025-02-13 17:00:00,,TP Hit,2 days 01:00:00
62,4219,4387,Asset,-66459,1.422109,1.42352,{'SL': 1.4342000000000001},{'TP': 1.4072},-93.780893,-0.000992,2025-02-13 18:00:00,2025-02-24 18:00:00,,,11 days 00:00:00
63,4388,4429,Asset,66389,1.422511,1.4335,{'SL': 1.4136},{'TP': 1.4335},729.540622,0.007725,2025-02-24 19:00:00,2025-02-26 12:00:00,,TP Hit,1 days 17:00:00
64,4430,4456,Asset,66295,1.434462,1.4413,{'SL': 1.4288},{'TP': 1.4413},453.343806,0.004767,2025-02-26 13:00:00,2025-02-27 15:00:00,,TP Hit,1 days 02:00:00
65,4457,4551,Asset,66199,1.442682,1.43936,{'SL': 1.4297},{'TP': 1.4588},-219.921717,-0.002303,2025-02-27 16:00:00,2025-03-05 14:00:00,,,5 days 22:00:00
66,4552,4578,Asset,-66088,1.441858,1.4271,{'SL': 1.454},{'TP': 1.4271},975.320327,0.010235,2025-03-05 15:00:00,2025-03-06 17:00:00,,TP Hit,1 days 02:00:00
67,4579,4596,Asset,-67402,1.426839,1.42957,{'SL': 1.4407},{'TP': 1.4098000000000002},-184.098149,-0.001914,2025-03-06 18:00:00,2025-03-07 11:00:00,,,0 days 17:00:00
68,4597,4603,Asset,67142,1.430061,1.44,{'SL': 1.42},{'TP': 1.44},667.290801,0.00695,2025-03-07 12:00:00,2025-03-07 18:00:00,,TP Hit,0 days 06:00:00
69,4604,4683,Asset,67152,1.438762,1.43594,{'SL': 1.4240000000000002},{'TP': 1.4572},-189.498546,-0.001961,2025-03-07 19:00:00,2025-03-13 02:00:00,,,5 days 07:00:00
70,4684,4700,Asset,-67149,1.436218,1.4432,{'SL': 1.4432},{'TP': 1.4276},-468.821862,-0.004861,2025-03-13 03:00:00,2025-03-13 19:00:00,,SL Hit,0 days 16:00:00
71,4701,4713,Asset,-66452,1.444938,1.44294,{'SL': 1.4578},{'TP': 1.429},132.75445,0.001383,2025-03-13 20:00:00,2025-03-14 08:00:00,,,0 days 12:00:00
72,4714,4721,Asset,66643,1.442832,1.4378,{'SL': 1.4378},{'TP': 1.4486},-335.356773,-0.003488,2025-03-14 09:00:00,2025-03-14 16:00:00,,SL Hit,0 days 07:00:00
73,4722,4740,Asset,66602,1.438972,1.43575,{'SL': 1.4288},{'TP': 1.4517},-214.587981,-0.002239,2025-03-14 17:00:00,2025-03-17 12:00:00,,,2 days 19:00:00
74,4741,4746,Asset,-66640,1.435188,1.4286,{'SL': 1.4406},{'TP': 1.4286},439.040114,0.004591,2025-03-17 13:00:00,2025-03-17 18:00:00,,TP Hit,0 days 05:00:00
75,4747,4751,Asset,-67193,1.429279,1.4286,{'SL': 1.4391},{'TP': 1.417},45.592634,0.000475,2025-03-17 19:00:00,2025-03-17 23:00:00,,,0 days 04:00:00
76,4752,4811,Asset,67255,1.428821,1.4373,{'SL': 1.4217},{'TP': 1.4373},570.225721,0.005934,2025-03-18 00:00:00,2025-03-20 11:00:00,,TP Hit,2 days 11:00:00
77,4812,4863,Asset,67203,1.437442,1.4309,{'SL': 1.4309},{'TP': 1.4454},-439.633189,-0.004551,2025-03-20 12:00:00,2025-03-24 16:00:00,,SL Hit,4 days 04:00:00
78,4864,5046,Asset,67245,1.430662,1.4212,{'SL': 1.4212},{'TP': 1.4424000000000001},-636.240551,-0.006613,2025-03-24 17:00:00,2025-04-03 08:00:00,,SL Hit,9 days 15:00:00
79,5047,5053,Asset,67273,1.421571,1.4072,{'SL': 1.4072},{'TP': 1.4394},-966.785328,-0.010109,2025-04-03 09:00:00,2025-04-03 15:00:00,,SL Hit,0 days 06:00:00
80,5054,5151,Asset,46382,1.40817,1.41412,{'SL': 1.3854},{'TP': 1.4365},275.954115,0.004225,2025-04-03 16:00:00,2025-04-09 17:00:00,,,6 days 01:00:00
81,5152,5179,Asset,-53342,1.419839,1.3953,{'SL': 1.4398},{'TP': 1.3953},1308.959578,0.017283,2025-04-09 18:00:00,2025-04-10 21:00:00,,TP Hit,1 days 03:00:00
82,5180,5451,Asset,-52569,1.39843,1.38813,{'SL': 1.4188},{'TP': 1.373},541.464643,0.007365,2025-04-10 22:00:00,2025-04-28 05:00:00,,,17 days 07:00:00
83,5452,5468,Asset,69649,1.388049,1.3819,{'SL': 1.3819000000000001},{'TP': 1.3955},-428.299491,-0.00443,2025-04-28 06:00:00,2025-04-28 22:00:00,,SL Hit,0 days 16:00:00
84,5469,5696,Asset,69687,1.381759,1.3958,{'SL': 1.3704},{'TP': 1.3958000000000002},978.469278,0.010162,2025-04-28 23:00:00,2025-05-12 10:00:00,,TP Hit,13 days 11:00:00
85,5697,5863,Asset,69558,1.39698,1.388,{'SL': 1.3880000000000001},{'TP': 1.4080000000000001},-624.620093,-0.006428,2025-05-12 11:00:00,2025-05-21 09:00:00,,SL Hit,8 days 22:00:00
86,5864,5872,Asset,69585,1.388349,1.383,{'SL': 1.383},{'TP': 1.3948},-372.238973,-0.003853,2025-05-21 10:00:00,2025-05-21 18:00:00,,SL Hit,0 days 08:00:00
87,5873,5922,Asset,69651,1.382239,1.3717,{'SL': 1.3717000000000001},{'TP': 1.3953},-734.059446,-0.007625,2025-05-21 19:00:00,2025-05-23 20:00:00,,SL Hit,2 days 01:00:00
88,5923,6251,Asset,69660,1.372589,1.36477,{'SL': 1.359},{'TP': 1.3893},-544.645487,-0.005696,2025-05-23 21:00:00,2025-06-12 13:00:00,,,19 days 16:00:00
89,6252,6285,Asset,-69763,1.363372,1.35795,{'SL': 1.371},{'TP': 1.3539},378.242987,0.003977,2025-06-12 14:00:00,2025-06-13 23:00:00,,,1 days 09:00:00
