Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
29,2209,2275,Asset,64837,1.376059,1.3827,{'SL': 1.3706},{'TP': 1.3827},430.595517,0.004826,2024-10-16 22:00:00,2024-10-21 16:00:00,,TP Hit,4 days 18:00:00
30,2276,2373,Asset,64814,1.382469,1.3874,{'SL': 1.3785},{'TP': 1.3874},319.590056,0.003567,2024-10-21 17:00:00,2024-10-25 18:00:00,,TP Hit,4 days 01:00:00
31,2374,2546,Asset,64750,1.388329,1.3819,{'SL': 1.3819000000000001},{'TP': 1.3962},-416.304492,-0.004631,2024-10-25 19:00:00,2024-11-06 00:00:00,,SL Hit,11 days 05:00:00
32,2547,2550,Asset,64731,1.382909,1.3901,{'SL': 1.3771},{'TP': 1.3901000000000001},465.471429,0.0052,2024-11-06 01:00:00,2024-11-06 04:00:00,,TP Hit,0 days 03:00:00
33,2551,2651,Asset,64614,1.39191,1.3947,{'SL': 1.3792},{'TP': 1.4077000000000002},180.299423,0.002005,2024-11-06 05:00:00,2024-11-12 09:00:00,,,6 days 04:00:00
34,2652,2681,Asset,-64568,1.3953,1.39565,{'SL': 1.4000000000000001},{'TP': 1.3896000000000002},-22.583853,-0.000251,2024-11-12 10:00:00,2024-11-13 15:00:00,,,1 days 05:00:00
35,2682,2710,Asset,64583,1.39482,1.4036,{'SL': 1.3876000000000002},{'TP': 1.4036},567.055693,0.006295,2024-11-13 16:00:00,2024-11-14 20:00:00,,TP Hit,1 days 04:00:00
36,2711,2827,Asset,64532,1.40382,1.3946,{'SL': 1.3946},{'TP': 1.4151},-594.99714,-0.006568,2024-11-14 21:00:00,2024-11-21 17:00:00,,SL Hit,6 days 20:00:00
37,2828,2883,Asset,64567,1.39474,1.4046,{'SL': 1.3867},{'TP': 1.4046},636.647827,0.00707,2024-11-21 18:00:00,2024-11-26 01:00:00,,TP Hit,4 days 07:00:00
38,2884,3254,Asset,64279,1.40993,1.4293,{'SL': 1.3943},{'TP': 1.4293},1245.05254,0.013738,2024-11-26 02:00:00,2024-12-17 12:00:00,,TP Hit,21 days 10:00:00
39,3255,3287,Asset,64232,1.428391,1.4357,{'SL': 1.4224},{'TP': 1.4357},469.444967,0.005117,2024-12-17 13:00:00,2024-12-18 21:00:00,,TP Hit,1 days 08:00:00
40,3288,3547,Asset,63929,1.441772,1.4282,{'SL': 1.4282000000000001},{'TP': 1.4586000000000001},-867.649822,-0.009413,2024-12-18 22:00:00,2025-01-06 16:00:00,,SL Hit,18 days 18:00:00
41,3548,3983,Asset,52422,1.433132,1.4573,{'SL': 1.4137000000000002},{'TP': 1.4573},1266.953086,0.016864,2025-01-06 17:00:00,2025-01-30 22:00:00,,TP Hit,24 days 05:00:00
42,3984,4009,Asset,54195,1.448712,1.47351,{'SL': 1.4296},{'TP': 1.4723000000000002},1343.904198,0.017117,2025-01-30 23:00:00,2025-02-03 00:00:00,,TP Hit,3 days 01:00:00
