Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
30,1581,1587,Asset,-68064,1.360322,1.36077,{'SL': 1.3672},{'TP': 1.3519},-30.493999,-0.000329,2024-09-10 18:00:00,2024-09-11 00:00:00,,,0 days 06:00:00
31,1588,1607,Asset,68020,1.360958,1.357,{'SL': 1.357},{'TP': 1.3657000000000001},-269.226187,-0.002908,2024-09-11 01:00:00,2024-09-11 20:00:00,,SL Hit,0 days 19:00:00
32,1608,1820,Asset,68006,1.357668,1.3479,{'SL': 1.3479},{'TP': 1.3697000000000001},-664.274447,-0.007195,2024-09-11 21:00:00,2024-09-24 17:00:00,,SL Hit,12 days 20:00:00
33,1821,1988,Asset,68065,1.347707,1.3552,{'SL': 1.3416000000000001},{'TP': 1.3552},509.985044,0.00556,2024-09-24 18:00:00,2024-10-03 17:00:00,,TP Hit,8 days 23:00:00
34,1989,2040,Asset,68085,1.354038,1.36124,{'SL': 1.3453000000000002},{'TP': 1.3649},490.368698,0.005319,2024-10-03 18:00:00,2024-10-07 21:00:00,,,4 days 03:00:00
35,2041,2051,Asset,-67919,1.363732,1.36206,{'SL': 1.3715000000000002},{'TP': 1.3541},113.547663,0.001226,2024-10-07 22:00:00,2024-10-08 08:00:00,,,0 days 10:00:00
36,2052,2084,Asset,68041,1.362908,1.3692,{'SL': 1.3577000000000001},{'TP': 1.3692},428.10431,0.004616,2024-10-08 09:00:00,2024-10-09 17:00:00,,TP Hit,1 days 08:00:00
37,2085,2089,Asset,68021,1.368938,1.37096,{'SL': 1.3636000000000001},{'TP': 1.3756000000000002},137.508295,0.001477,2024-10-09 18:00:00,2024-10-09 22:00:00,,,0 days 04:00:00
38,2090,2129,Asset,-67998,1.371091,1.3779,{'SL': 1.3779000000000001},{'TP': 1.3628},-462.968327,-0.004966,2024-10-09 23:00:00,2024-10-11 14:00:00,,SL Hit,1 days 15:00:00
39,2130,2178,Asset,-67390,1.377291,1.3826,{'SL': 1.3826},{'TP': 1.3708},-357.764615,-0.003855,2024-10-11 15:00:00,2024-10-15 15:00:00,,SL Hit,4 days 00:00:00
