Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
30,1826,1895,Asset,67198,1.343627,1.3526,{'SL': 1.3364},{'TP': 1.3526},602.955693,0.006678,2024-09-24 23:00:00,2024-09-27 20:00:00,,TP Hit,2 days 21:00:00
31,1896,2040,Asset,67168,1.352328,1.3626,{'SL': 1.344},{'TP': 1.3626},689.97569,0.007596,2024-09-27 21:00:00,2024-10-07 21:00:00,,TP Hit,10 days 00:00:00
32,2041,2045,Asset,67055,1.363868,1.36238,{'SL': 1.3561},{'TP': 1.3734000000000002},-99.79058,-0.001091,2024-10-07 22:00:00,2024-10-08 02:00:00,,,0 days 04:00:00
33,2046,2082,Asset,-67075,1.361982,1.3684,{'SL': 1.3684},{'TP': 1.3541},-430.494225,-0.004712,2024-10-08 03:00:00,2024-10-09 15:00:00,,SL Hit,1 days 12:00:00
34,2083,2101,Asset,-66483,1.368262,1.3727,{'SL': 1.3727},{'TP': 1.3628},-295.079244,-0.003244,2024-10-09 16:00:00,2024-10-10 10:00:00,,SL Hit,0 days 18:00:00
35,2102,2107,Asset,-66072,1.372781,1.3766,{'SL': 1.3766},{'TP': 1.3681},-252.305347,-0.002782,2024-10-10 11:00:00,2024-10-10 16:00:00,,SL Hit,0 days 05:00:00
36,2108,2178,Asset,-65763,1.375661,1.3829,{'SL': 1.3829},{'TP': 1.367},-476.044317,-0.005262,2024-10-10 17:00:00,2024-10-15 15:00:00,,SL Hit,4 days 22:00:00
37,2179,2207,Asset,-65136,1.382431,1.3764,{'SL': 1.3874},{'TP': 1.3764},392.827074,0.004363,2024-10-15 16:00:00,2024-10-16 20:00:00,,TP Hit,1 days 04:00:00
38,2208,2251,Asset,-65683,1.376301,1.37954,{'SL': 1.3819000000000001},{'TP': 1.3695000000000002},-212.735316,-0.002353,2024-10-16 21:00:00,2024-10-18 16:00:00,,,1 days 19:00:00
39,2252,2277,Asset,65379,1.379919,1.3848,{'SL': 1.3759000000000001},{'TP': 1.3848},319.115389,0.003537,2024-10-18 17:00:00,2024-10-21 18:00:00,,TP Hit,3 days 01:00:00
40,2278,2418,Asset,65358,1.384789,1.3911,{'SL': 1.3796000000000002},{'TP': 1.3911},412.458914,0.004557,2024-10-21 19:00:00,2024-10-29 15:00:00,,TP Hit,7 days 20:00:00
41,2419,2496,Asset,65393,1.389529,1.3956,{'SL': 1.3848},{'TP': 1.3956000000000002},396.969972,0.004369,2024-10-29 16:00:00,2024-11-01 21:00:00,,TP Hit,3 days 05:00:00
42,2497,2514,Asset,65368,1.39569,1.3887,{'SL': 1.3887},{'TP': 1.4043},-456.908004,-0.005008,2024-11-01 22:00:00,2024-11-04 16:00:00,,SL Hit,2 days 18:00:00
43,2515,2682,Asset,65391,1.388919,1.398,{'SL': 1.3815000000000002},{'TP': 1.3980000000000001},593.786735,0.006538,2024-11-04 17:00:00,2024-11-13 16:00:00,,TP Hit,8 days 23:00:00
44,2683,2731,Asset,65318,1.39863,1.4105,{'SL': 1.389},{'TP': 1.4105},775.329363,0.008487,2024-11-13 17:00:00,2024-11-15 17:00:00,,TP Hit,2 days 00:00:00
45,2732,2777,Asset,65383,1.40791,1.3984,{'SL': 1.3984},{'TP': 1.4196},-621.81796,-0.006755,2024-11-15 18:00:00,2024-11-19 15:00:00,,SL Hit,3 days 21:00:00
46,2778,2884,Asset,65323,1.40078,1.413,{'SL': 1.3906},{'TP': 1.413},798.244741,0.008724,2024-11-19 16:00:00,2024-11-26 02:00:00,,TP Hit,6 days 10:00:00
47,2885,3135,Asset,50973,1.416281,1.41665,{'SL': 1.3961000000000001},{'TP': 1.4414},18.818696,0.000261,2024-11-26 03:00:00,2024-12-10 13:00:00,,,14 days 10:00:00
48,3136,3151,Asset,-65111,1.416359,1.41619,{'SL': 1.4222000000000001},{'TP': 1.4092},11.015381,0.000119,2024-12-10 14:00:00,2024-12-11 05:00:00,,,0 days 15:00:00
49,3152,3162,Asset,65123,1.416401,1.4125,{'SL': 1.4125},{'TP': 1.4211},-254.032873,-0.002754,2024-12-11 06:00:00,2024-12-11 16:00:00,,SL Hit,0 days 10:00:00
50,3163,3234,Asset,65137,1.412541,1.427,{'SL': 1.4009},{'TP': 1.427},941.840407,0.010236,2024-12-11 17:00:00,2024-12-16 16:00:00,,TP Hit,4 days 23:00:00
51,3235,3272,Asset,65168,1.424921,1.4326,{'SL': 1.4186},{'TP': 1.4326},500.409269,0.005389,2024-12-16 17:00:00,2024-12-18 06:00:00,,TP Hit,1 days 13:00:00
52,3273,3287,Asset,65129,1.432682,1.4377,{'SL': 1.4285},{'TP': 1.4377},326.841387,0.003503,2024-12-18 07:00:00,2024-12-18 21:00:00,,TP Hit,0 days 14:00:00
53,3288,3547,Asset,64923,1.441772,1.4282,{'SL': 1.4282000000000001},{'TP': 1.4586000000000001},-881.140474,-0.009413,2024-12-18 22:00:00,2025-01-06 16:00:00,,SL Hit,18 days 18:00:00
54,3548,3596,Asset,53237,1.433132,1.43767,{'SL': 1.4137000000000002},{'TP': 1.4573},241.607979,0.003167,2025-01-06 17:00:00,2025-01-08 19:00:00,,,2 days 02:00:00
55,3597,3651,Asset,-64641,1.438998,1.44152,{'SL': 1.4508},{'TP': 1.4244},-163.021596,-0.001753,2025-01-08 20:00:00,2025-01-13 02:00:00,,,4 days 06:00:00
56,3652,3673,Asset,64403,1.442182,1.4359,{'SL': 1.4359000000000002},{'TP': 1.4499},-404.586441,-0.004356,2025-01-13 03:00:00,2025-01-14 00:00:00,,SL Hit,0 days 21:00:00
57,3674,3767,Asset,64449,1.435872,1.4467,{'SL': 1.4264000000000001},{'TP': 1.4467},697.867306,0.007541,2025-01-14 01:00:00,2025-01-17 22:00:00,,TP Hit,3 days 21:00:00
58,3768,3784,Asset,64384,1.446732,1.4336,{'SL': 1.4336},{'TP': 1.463},-845.512128,-0.009077,2025-01-17 23:00:00,2025-01-20 15:00:00,,SL Hit,2 days 16:00:00
59,3785,3983,Asset,57894,1.431522,1.4534,{'SL': 1.4135},{'TP': 1.4534},1266.629682,0.015283,2025-01-20 16:00:00,2025-01-30 22:00:00,,TP Hit,10 days 06:00:00
60,3984,4009,Asset,54777,1.448712,1.47351,{'SL': 1.4296},{'TP': 1.4723000000000002},1358.336382,0.017117,2025-01-30 23:00:00,2025-02-03 00:00:00,,TP Hit,3 days 01:00:00
61,4010,4067,Asset,24046,1.473304,1.4295,{'SL': 1.4295},{'TP': 1.528},-1053.302844,-0.029732,2025-02-03 01:00:00,2025-02-05 10:00:00,,SL Hit,2 days 09:00:00
62,4068,4073,Asset,65664,1.428461,1.42925,{'SL': 1.4188},{'TP': 1.4404000000000001},51.78135,0.000552,2025-02-05 11:00:00,2025-02-05 16:00:00,,,0 days 05:00:00
63,4074,4129,Asset,-65709,1.427529,1.4376,{'SL': 1.4376},{'TP': 1.4163000000000001},-661.780308,-0.007055,2025-02-05 17:00:00,2025-02-10 00:00:00,,SL Hit,4 days 07:00:00
64,4130,4351,Asset,-54877,1.435868,1.41717,{'SL': 1.4548},{'TP': 1.4123},1026.101286,0.013022,2025-02-10 01:00:00,2025-02-21 06:00:00,,,11 days 05:00:00
65,4352,4385,Asset,66439,1.417441,1.4241,{'SL': 1.4120000000000001},{'TP': 1.4241000000000001},442.426038,0.004698,2025-02-21 07:00:00,2025-02-24 16:00:00,,TP Hit,3 days 09:00:00
66,4386,4432,Asset,66390,1.424501,1.4354,{'SL': 1.4156},{'TP': 1.4354},723.569905,0.007651,2025-02-24 17:00:00,2025-02-26 15:00:00,,TP Hit,1 days 22:00:00
67,4433,4459,Asset,66347,1.435222,1.4441,{'SL': 1.4280000000000002},{'TP': 1.4441000000000002},589.044755,0.006186,2025-02-26 16:00:00,2025-02-27 18:00:00,,TP Hit,1 days 02:00:00
