timestamp,X_sma_30,X_sma_60,X_sma_90,X_sma_150,X_sma_200,X_kama_30,X_kama_60,X_kama_90,X_kama_150,X_kama_200,X_slope_360,X_slope_720,actual_target,forecast,y_predict,y_actual,signal_correct
2025-01-07 16:00:00,0.10963492731589897,0.10964466769367198,0.10878124667645156,0.10697158742958349,0.10575421843395601,0.10873066307478585,0.10898164259741516,0.1087681660353723,0.10835834644856643,0.10793205575944141,2.4825565592658614e-06,5.574213746477512e-06,0.0011865128387669177,0.00010477279677826169,1,1,1
2025-01-07 17:00:00,0.10962337827131,0.10963876870978935,0.1087781203303369,0.10696862251464694,0.105752953897524,0.10873058650445701,0.108979155812312,0.10876603761445665,0.10835618323075939,0.10793034240207974,2.4254668066681938e-06,5.563581228538213e-06,-0.0002927910656898014,0.00010401784674063178,1,-1,0
2025-01-07 18:00:00,0.10961807539873933,0.109632920579216,0.10877503600500334,0.10696589062814188,0.105751391606874,0.10873021527222855,0.10897632568825742,0.10876367467861267,0.10835387633377898,0.10792829696445422,2.3687654387951067e-06,5.552051342117693e-06,0.00027893030229075855,0.00010314729171241909,1,1,1
2025-01-07 19:00:00,0.1096105035085783,0.10962787338826468,0.1087723046542311,0.10696299016787786,0.105749645517324,0.10873014465840218,0.10897417579104554,0.10876173318143399,0.10835175853638107,0.10792636992567646,2.314245879226719e-06,5.541621254915062e-06,0.00037645090452786967,0.00010233506006841899,1,1,1
2025-01-07 20:00:00,0.10960469074441431,0.10962287705062265,0.10876973298242713,0.10696037231656268,0.10574794353951,0.10873055236224767,0.10897250823730144,0.10876018142323676,0.10835010828866239,0.10792475101116321,2.2582832397881526e-06,5.530681277959572e-06,-0.00020209200064125188,0.00010146261059980577,1,-1,0
2025-01-07 21:00:00,0.1096163162727423,0.10961710520001335,0.10876737141452868,0.10695819573185175,0.105746138634312,0.10873094822188521,0.10897039229696284,0.1087585438614314,0.10834845685471962,0.10792295189898939,2.2001651944501733e-06,5.519488788941044e-06,0.0008852024813550408,0.00010025593756431364,1,1,1
2025-01-07 22:00:00,0.10962717696368032,0.10961379973490668,0.10876576622069022,0.10695715454098773,0.10574453958388201,0.10873390626565353,0.1089697683515669,0.1087577628117136,0.10834773795749031,0.10792188259366621,2.147796299127329e-06,5.509651422744758e-06,-0.00013231474195141146,9.908857524425671e-05,1,-1,0
2025-01-07 23:00:00,0.10964056161800532,0.10960868897731865,0.10876449719310066,0.1069553795584672,0.10574237075686198,0.10873732051696075,0.10896877139942641,0.10875696034219948,0.10834678431825592,0.10792054836630635,2.0957013421976663e-06,5.499235881081111e-06,0.0006964855339954834,9.781438732931213e-05,1,1,1
2025-01-08 00:00:00,0.10965002010706167,0.10960469699253601,0.10876413581438311,0.10695349549880853,0.105741635561262,0.1087415826479564,0.10896864779772444,0.10875666940659684,0.10834632632853829,0.10792002706092828,2.044838461446972e-06,5.489395780373678e-06,-0.00014616016369928264,9.664584082230715e-05,1,-1,0
2025-01-08 01:00:00,0.109651218352306,0.10960159494066667,0.10876323656966734,0.10695137345266666,0.10574108048858398,0.10874247064916324,0.10896841552036965,0.10875625482177687,0.10834573167751627,0.10791945698645058,1.9931371697218314e-06,5.476548797504586e-06,-0.0009815045559911084,9.570875564433286e-05,1,-1,0
2025-01-08 02:00:00,0.10964892384013601,0.10959514928370866,0.10876115233892421,0.10694726818583147,0.10573998504714,0.10874276381202835,0.10896660655715744,0.10875499491227715,0.10834368246971861,0.10791818580180206,1.934132542494447e-06,5.461172354737293e-06,-0.00015329301262567707,9.464852014166401e-05,1,-1,0
2025-01-08 03:00:00,0.10964520163150467,0.10958963169964601,0.10875934544533646,0.1069429150164096,0.105738691102884,0.10874298142883082,0.10896482880409272,0.10875370627201865,0.1083413711202807,0.1079167512855442,1.873811782457433e-06,5.445689047851699e-06,-0.00025088156996122546,9.358282121495177e-05,1,-1,0
2025-01-08 04:00:00,0.10963923589986269,0.10958232153642934,0.1087566393070329,0.10693911219073013,0.105737591985462,0.10874284833330419,0.10896213643971986,0.10875195146246786,0.10833901460628872,0.10791524131921756,1.8092249330522311e-06,5.429989291048783e-06,0.0002927686152045528,9.255014844511698e-05,1,1,1
2025-01-08 05:00:00,0.10964255019521932,0.10957421043359068,0.10875203382942313,0.10693611752748321,0.105737092052454,0.10874312197210959,0.10895971242112577,0.10874979846898934,0.10833730333399025,0.10791413020246025,1.749490737405678e-06,5.414553947202224e-06,2.7874564459740014e-05,9.142650005764522e-05,1,1,1
2025-01-08 06:00:00,0.10964696075750166,0.10956566707762269,0.10874697452737733,0.10693284521333919,0.10573654065575401,0.10874351857631946,0.10895723907210053,0.10874752694968305,0.10833552984267664,0.10791302193821121,1.6890256801576947e-06,5.399586499775019e-06,-0.0005435388560596222,9.026382664244547e-05,1,-1,0
2025-01-08 07:00:00,0.10965070846071265,0.10955380554322067,0.10874091513074113,0.10692937457712585,0.10573638258870001,0.10874310744505392,0.10895206421335467,0.10874408192275337,0.10833313151159918,0.10791178849563053,1.6241862298116498e-06,5.38410927813245e-06,0.00041833419324244225,8.911929768560263e-05,1,1,1
2025-01-08 08:00:00,0.10965486407719832,0.10954007514970067,0.10873446073876243,0.1069261220951888,0.10573653697977597,0.10874328874457155,0.10894732654536736,0.10874114156163212,0.1083312856890777,0.10791075907008243,1.5621894021797026e-06,5.368954677272693e-06,0.0008223798837516672,8.7998147062245e-05,1,1,1
2025-01-08 09:00:00,0.10965970804733499,0.10952779407549668,0.10872962834893468,0.10692403475540907,0.10573706264463002,0.10874488516692489,0.10894596997445039,0.10873993864098255,0.10833050907463543,0.10791004438000795,1.5048425225147627e-06,5.3543784829652775e-06,0.00042477925405970396,8.688770788546168e-05,1,1,1
2025-01-08 10:00:00,0.10966671905674333,0.10951603424771335,0.1087249052131378,0.1069222548148368,0.10573745965025401,0.10874820007541465,0.10894595553859912,0.108739297604805,0.10833010211684928,0.10790957627778888,1.4483996826514728e-06,5.342738343170037e-06,-0.000160094664671262,8.571512332216575e-05,1,-1,0
2025-01-08 11:00:00,0.10967390852820932,0.10950535505275336,0.10872011484409111,0.10692050462257495,0.10573786033185602,0.1087511431052843,0.10894552339231672,0.10873845720465607,0.10832958508738526,0.10790902829912367,1.3931705989324324e-06,5.330690966854583e-06,0.0004803608972305806,8.456645156611724e-05,1,1,1
2025-01-08 12:00:00,0.10968262767445533,0.109495769203944,0.10871518160438866,0.10691906678757226,0.10573841540453399,0.10875610983313315,0.10894625519263812,0.10873822059375597,0.10832943082746627,0.10790871331157298,1.340943306699562e-06,5.318169531845411e-06,0.0013290562309078435,8.333353522295992e-05,1,1,1
2025-01-08 13:00:00,0.10970182509294434,0.10948880230056533,0.10871248387024134,0.10691872964005439,0.105739639505208,0.10878375227232118,0.1089488861642395,0.10873919191705408,0.10832997760167332,0.10790919058696996,1.299888648950704e-06,5.307665523019047e-06,-8.339008491886624e-05,8.116424489696398e-05,1,-1,0
2025-01-08 14:00:00,0.10971954382581267,0.10948107259754666,0.10870961805296954,0.10691820904462239,0.10574087095783799,0.10880591193860453,0.10895161976166312,0.10874011488086355,0.1083305069583212,0.10790961214491457,1.2578162594216412e-06,5.2981250372655425e-06,0.0004308847035929819,7.924770182983567e-05,1,1,1
2025-01-08 15:00:00,0.10974182608844134,0.1094755041601747,0.10870896252878422,0.10691831812176054,0.10574239281273,0.10884225344760667,0.10895420289049239,0.10874091047708746,0.10833117627368438,0.1079103639506186,1.2224532052270433e-06,5.2881335628385506e-06,0.0005904746026452745,7.676680677821222e-05,1,1,1
2025-01-08 16:00:00,0.10976574000416867,0.10947186814855736,0.10870858434175422,0.10691901720705495,0.105743852175996,0.10888442958854921,0.10895664198520623,0.10874194331826396,0.10833228766272487,0.10791150394724887,1.1888272135687823e-06,5.278195469118451e-06,-0.0011663669751521555,7.406547200813072e-05,1,-1,0
2025-01-08 17:00:00,0.10978728292398698,0.109470177276022,0.1087060378824189,0.10691847677941599,0.10574456531572798,0.10890058124665075,0.10895753349124952,0.10874266982603145,0.1083327310712449,0.1079117747422793,1.1478253606264824e-06,5.268267068143741e-06,-0.0007159290743663504,7.235558379927227e-05,1,-1,0
2025-01-08 18:00:00,0.10980546055928933,0.10946767275053736,0.10870402088492556,0.10691685549649921,0.10574462413137599,0.10890549710217,0.108958004552244,0.10874278766797632,0.10833281609635324,0.10791166824024172,1.0947984527804045e-06,5.258559289458943e-06,0.0009807604023204242,7.100004167127954e-05,1,1,1
2025-01-08 19:00:00,0.109824606988619,0.10946600730465668,0.10870379397270757,0.10691681583208533,0.105744954969396,0.10891843748012614,0.10895905226904778,0.10874333578817907,0.10833331922389369,0.10791204075414475,1.0478020691248672e-06,5.251413887489692e-06,-9.72850521517854e-05,6.946503995056505e-05,1,-1,0
2025-01-08 20:00:00,0.10984298858055869,0.10946418929884802,0.1087024072869309,0.10691697944779252,0.105744624131376,0.10892892765056901,0.10896005941419498,0.10874400284695747,0.10833379271307139,0.10791236342373757,9.989079454592477e-07,5.243243570778736e-06,-6.254647550618664e-05,6.799188424671119e-05,1,-1,0
2025-01-08 21:00:00,0.10986019742183367,0.10946404945224734,0.10870104581362289,0.10691749012712107,0.105744403572696,0.10893747020941903,0.10896071305106293,0.10874462209955775,0.10833428056426013,0.10791264383767711,9.492406085899441e-07,5.23330586220204e-06,-0.00041005254232562294,6.660513213134408e-05,1,-1,0
2025-01-08 22:00:00,0.10987416845149099,0.10946212973982002,0.10870015497306333,0.10691729676310348,0.10574438151682798,0.10894119583536065,0.10896140531424672,0.10874493791015137,0.10833452826632821,0.10791272051517758,9.004851783576117e-07,5.2227641736297924e-06,-0.0011819920041717946,6.546062872078533e-05,1,-1,0
2025-01-08 23:00:00,0.10987947132406167,0.10945901497462333,0.10869800350907045,0.10691519950722025,0.10574375292458998,0.10894032112420253,0.10896121234789392,0.10874445688742776,0.10833400848478861,0.1079121696963456,8.499357857224329e-07,5.2109102670786144e-06,0.0005916953812954429,6.454217678994803e-05,1,1,1
2025-01-09 00:00:00,0.10988801200824999,0.10946062956719467,0.10869695298954267,0.10691331544756162,0.10574286701389202,0.10894053650383247,0.10896146540043927,0.1087444344198489,0.10833395658221227,0.10791192547003868,7.962018323261703e-07,5.199982974139202e-06,0.00020871017114232338,6.351105253669073e-05,1,1,1
