Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
29,1252,1292,Asset,-67564,1.359212,1.3512,{'SL': 1.3658000000000001},{'TP': 1.3512},541.3252,0.005895,2024-08-22 01:00:00,2024-08-23 17:00:00,,TP Hit,1 days 16:00:00
30,1293,1580,Asset,-68282,1.352062,1.3604,{'SL': 1.3604},{'TP': 1.3418},-569.308447,-0.006167,2024-08-23 18:00:00,2024-09-10 17:00:00,,SL Hit,17 days 23:00:00
31,1581,1588,Asset,-67491,1.360322,1.36089,{'SL': 1.3672},{'TP': 1.3519},-38.336204,-0.000418,2024-09-10 18:00:00,2024-09-11 01:00:00,,,0 days 07:00:00
32,1589,1601,Asset,67433,1.361118,1.3579,{'SL': 1.3579},{'TP': 1.3649},-217.002934,-0.002364,2024-09-11 02:00:00,2024-09-11 14:00:00,,SL Hit,0 days 12:00:00
33,1602,1734,Asset,67460,1.357668,1.3623,{'SL': 1.3538000000000001},{'TP': 1.3623},312.482815,0.003412,2024-09-11 15:00:00,2024-09-19 03:00:00,,TP Hit,7 days 12:00:00
34,1735,1796,Asset,67374,1.363598,1.3512,{'SL': 1.3512},{'TP': 1.3789},-835.314744,-0.009092,2024-09-19 04:00:00,2024-09-23 17:00:00,,SL Hit,4 days 13:00:00
35,1797,2031,Asset,67514,1.349577,1.3596,{'SL': 1.3416000000000001},{'TP': 1.3596000000000001},676.660719,0.007426,2024-09-23 18:00:00,2024-10-07 12:00:00,,TP Hit,13 days 18:00:00
36,2032,2048,Asset,67486,1.359188,1.36156,{'SL': 1.3547},{'TP': 1.3647},160.079761,0.001745,2024-10-07 13:00:00,2024-10-08 05:00:00,,,0 days 16:00:00
37,2049,2051,Asset,-67432,1.362242,1.36206,{'SL': 1.3676000000000001},{'TP': 1.3558000000000001},12.264836,0.000134,2024-10-08 06:00:00,2024-10-08 08:00:00,,,0 days 02:00:00
38,2052,2082,Asset,-67416,1.362772,1.368,{'SL': 1.368},{'TP': 1.3564},-352.460421,-0.003836,2024-10-08 09:00:00,2024-10-09 15:00:00,,SL Hit,1 days 06:00:00
39,2083,2101,Asset,-66914,1.368262,1.3727,{'SL': 1.3727},{'TP': 1.3628},-296.992202,-0.003244,2024-10-09 16:00:00,2024-10-10 10:00:00,,SL Hit,0 days 18:00:00
40,2102,2107,Asset,-66499,1.372781,1.3766,{'SL': 1.3766},{'TP': 1.3681},-253.935908,-0.002782,2024-10-10 11:00:00,2024-10-10 16:00:00,,SL Hit,0 days 05:00:00
41,2108,2178,Asset,-66189,1.375661,1.3829,{'SL': 1.3829},{'TP': 1.367},-479.12804,-0.005262,2024-10-10 17:00:00,2024-10-15 15:00:00,,SL Hit,4 days 22:00:00
42,2179,2207,Asset,-65558,1.382431,1.3764,{'SL': 1.3874},{'TP': 1.3764},395.372103,0.004363,2024-10-15 16:00:00,2024-10-16 20:00:00,,TP Hit,1 days 04:00:00
43,2208,2268,Asset,-66108,1.376301,1.3819,{'SL': 1.3819000000000001},{'TP': 1.3695000000000002},-370.126693,-0.004068,2024-10-16 21:00:00,2024-10-21 09:00:00,,SL Hit,4 days 12:00:00
44,2269,2324,Asset,-65597,1.381951,1.3853,{'SL': 1.3853},{'TP': 1.3779000000000001},-219.690978,-0.002423,2024-10-21 10:00:00,2024-10-23 17:00:00,,SL Hit,2 days 07:00:00
45,2325,2351,Asset,-65332,1.384521,1.3863,{'SL': 1.3902},{'TP': 1.3776000000000002},-116.240622,-0.001285,2024-10-23 18:00:00,2024-10-24 20:00:00,,,1 days 02:00:00
